site;plot;canopy.cover;slope.steepness;tree.richness;location;x;y;tree.species;year;ID;initial.date;date.photo;days;days.fac;initial.mass;remain.mass;removal;deco.raw;deco.adj;deco.EN;deco.MN;deco.FR;deco.JC;rel.remain;remain;loss;prime.deco;fly.prob;ant.prob;both.prob;burried;no.flies;flies_Estimator;no.other;other_Estimator;no.ants;ants_Estimator
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;1;01.06.2023;03.06.2023;2;early;381;98;0;5;5;6;6;5;3;0,338961067;129;252;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;1;01.06.2023;05.06.2023;4;late;381;;0;7;7;7;7;7;;0,083423357;32;349;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;2;01.06.2023;03.06.2023;2;early;249;70;0;4,75;4,75;6;5;5;3;0,388926052;97;152;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;2;01.06.2023;05.06.2023;4;late;249;;0;7;7;7;7;7;7;0,083423357;21;228;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;3;01.06.2023;03.06.2023;2;early;353;70;0;5;5;6;6;5;3;0,338961067;120;233;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1807;18;7;Lithocarpus glaber;2023;3;01.06.2023;05.06.2023;4;late;353;;0;6,25;6,25;7;6;6;6;0,148246447;52;301;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1802;18;2;Lithocarpus glaber;2023;4;01.06.2023;03.06.2023;2;early;289;;0;5,25;5,25;6;6;5;4;0,292344143;84;205;ants;0;1;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1802;18;2;Lithocarpus glaber;2023;4;01.06.2023;05.06.2023;4;late;289;;0;6,75;6,75;7;6;7;7;0,101504495;29;260;ants;0;1;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1802;18;2;Lithocarpus glaber;2023;5;01.06.2023;03.06.2023;2;early;250;;0;5;5;6;6;5;3;0,338961067;85;165;unknown;0;0;0;0;234;2,83325183;;;;
A;B35;0,98;35,7;4;1802;18;2;Lithocarpus glaber;2023;5;01.06.2023;05.06.2023;4;late;250;;0;6;6;7;6;6;5;0,177654142;44;206;unknown;0;0;0;0;234;2,83325183;;;;
